T32,Net disbursements of official development assistance from donors,,,,,
784,United Arab Emirates,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.18,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
784,United Arab Emirates,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.21,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
784,United Arab Emirates,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.31,"Provisional data.;Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
826,United Kingdom,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),904,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
826,United Kingdom,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,530",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
826,United Kingdom,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,202",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
826,United Kingdom,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"10,772",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
826,United Kingdom,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"13,053",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
826,United Kingdom,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"19,263",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
826,United Kingdom,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"18,553",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
826,United Kingdom,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"18,053",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
